cpuMark,threadMark,TDP,cores,testDate,Desktop,Laptop,Mobile/Embedded,Server,Unknown
19056,2638,45.0,8,2020,0,1,0,0,0
19052,3604,45.0,6,2022,0,1,0,0,0
19010,2494,105.0,8,2021,0,0,0,1,0
18978,1730,145.0,16,2020,0,0,0,1,0
18963,3356,28.0,4,2022,0,1,0,0,0
18940,3511,80.0,6,2021,0,0,0,1,0
18879,3224,35.0,6,2021,1,0,0,0,0
18864,2609,45.0,8,2020,0,1,0,0,0
18857,3319,45.0,6,2021,0,1,0,1,0
18852,3092,15.0,8,2021,0,1,0,0,0
18846,2023,100.0,12,2020,0,0,0,1,0
18831,1490,53.0,16,2021,0,0,0,0,1
18823,1127,53.0,80,2022,0,0,0,0,1
18780,2794,95.0,6,2020,1,0,0,0,0
18757,3507,80.0,6,2022,0,0,0,1,0
18716,3223,35.0,6,2021,1,0,0,0,0
18716,2960,95.0,8,2018,1,0,0,0,0
18691,2968,95.0,8,2019,1,0,0,0,0
18656,2523,150.0,8,2017,0,0,0,1,0
18649,3277,28.0,6,2022,0,1,0,0,0
18635,2990,80.0,8,2022,0,0,1,1,0
18550,2709,35.0,8,2020,1,0,0,0,0
18416,2007,240.0,18,2021,0,0,0,1,0
18409,2974,35.0,10,2021,0,0,0,1,0
18385,1728,100.0,16,2018,0,0,0,1,0
18318,3302,65.0,6,2021,1,0,0,0,0
18288,2406,165.0,10,2018,1,0,0,0,0
18285,2670,95.0,6,2019,1,0,0,0,0
18248,3258,65.0,8,2022,0,0,0,1,0
18244,1612,150.0,18,2016,0,0,0,1,0
18240,2595,165.0,8,2018,1,0,0,0,0
18225,2625,140.0,8,2017,0,0,0,1,0
18224,2399,53.0,8,2021,1,0,0,0,0
18209,2666,53.0,8,2020,0,1,0,0,0
18202,3805,35.0,6,2022,1,0,0,0,0
18148,1910,120.0,18,2015,0,0,0,1,0
18122,3064,15.0,8,2022,0,1,0,0,0
18093,3060,80.0,8,2020,0,0,0,1,0
18070,1425,110.0,16,2020,0,0,0,1,0
17972,2439,15.0,8,2021,0,0,1,0,0
17900,2609,65.0,6,2019,1,0,0,0,0
17888,2684,35.0,10,2021,0,0,1,0,0
17822,2576,65.0,6,2019,1,0,0,0,0
17795,1833,120.0,14,2020,0,0,0,1,0
